,ssc_name,total_persons
242,BARRETTS CREEK,10
243,BARRINGELLA,32
244,BARRINGTON,377
245,BARRINGTON TOPS,1
246,BARRY (BLAYNEY),168
247,BARRY (UPPER HUNTER SHIRE),5
248,BARWANG,83
249,BARWON,32
250,BARYULGIL,97
251,BASIN VIEW,1644
252,BEECROFT PENINSULA,0
253,BEELBANGERA,415
254,BEEMUNNEL,13
255,BEGA,4791
256,BEGGAN BEGGAN,98
257,BELANGLO,26
258,BELBORA,125
259,BELFIELD,6645
260,BELFORD,187
261,BELFRAYDEN,31
262,BELGRAVIA,119
263,BELIMBLA PARK,632
264,BELL,49
265,BELLA VISTA,8460
266,BELLAMBI,4138
267,BELLANGRY,101
268,BELLATA,353
269,BELLAWONGARAH,131
270,BELLBIRD,2183
271,BELLBIRD HEIGHTS,832
272,BELLBROOK,278
273,BELLEVUE HILL,11644
274,BELLIMBOPINNI,119
275,BELLINGEN,3910
276,BELLMOUNT FOREST,123
277,BELLTREES,29
278,BELMONT,7369
279,BELMONT NORTH,6543
280,BELMONT SOUTH,1080
281,BELMORE,13602
282,BELMORE RIVER,274
283,BELOKA,21
284,BELOWRA,8
285,BELROSE,9183
286,BEMBOKA,574
287,BEN BULLEN,107
288,BEN LOMOND,153
289,BENANDARAH,174
290,BENDALONG,94
291,BENDEMEER,505
292,BENDICK MURRELL,157
293,BENDOLBA,218
294,BENDOURA,72
295,BENEREMBAH,135
296,BENGALLA,23
297,BENNETTS GREEN,11
298,BENOLONG,50
299,BENSVILLE,2639
300,BENTLEY,199
301,BERALA,9747
302,BERAMBING,110
303,BERESFIELD,3278
304,BERGALIA,177
305,BERKELEY,8068
306,BERKELEY VALE,8603
307,BERKSHIRE PARK,2216
308,BERLANG,0
309,BERMAGUI,1557
310,BEROWRA,4860
311,BEROWRA CREEK,17
312,BEROWRA HEIGHTS,5475
313,BEROWRA WATERS,122
314,BERRAMBOOL,473
315,BERRARA,310
316,BERREMANGRA,94
317,BERRICO,37
318,BERRIDALE,1264
319,BERRIGAL,35
320,BERRIGAN,1303
321,BERRILEE,230
322,BERRIMA,714
323,BERRINGER LAKE,28
324,BERRY,2740
325,BERRY JERRY,81
326,BERRY MOUNTAIN,26
327,BERRY PARK,238
328,BERTHONG,47
329,BERYL,134
330,BETHUNGRA,173
331,BEVENDALE,46
332,BEVERLEY PARK,2634
333,BEVERLY HILLS,10862
334,BEWONG,81
335,BEXHILL,527
336,BEXLEY,21251
337,BEXLEY NORTH,4444
338,BIALA,61
339,BIBBENLUKE,87
340,BIDDON,97
341,BIDGEEMIA,32
342,BIDWILL,4322
343,BIELSDOWN HILLS,101
344,BIG HILL,49
345,BIG JACKS CREEK,56
346,BIG RIDGE,12
347,BIG SPRINGS,130
348,BIGGA,253
349,BILAMBIL,430
350,BILAMBIL HEIGHTS,3497
351,BILBUL,571
352,BILLEROY,40
353,BILLILINGRA,10
354,BILLIMARI,154
355,BILLINUDGEL,235
356,BILLYS CREEK,57
357,BILLYWILLINGA,201
358,BILPIN,698
359,BIMBERI,0
360,BIMBI,115
361,BIMBIMBIE,121
362,BINALONG,562
363,BINDA,288
364,BINDERA,32
365,BINGARA,1508
366,BINGEEBEEBRA CREEK,34
367,BINGIE,210
368,BINGLEBURRA,27
369,BINIGUY,153
370,BINJURA,329
371,BINNA BURRA,236
372,BINNAWAY,616
373,BINYA,145
374,BIRCHGROVE,3594
375,BIRDWOOD,45
376,BIRGANBIGIL,53
377,BIRMINGHAM GARDENS,2656
378,BIRRIWA,53
379,BIRRONG,3343
380,BISHOPS BRIDGE,266
381,BITHRAMERE,173
382,BLACK CREEK (PORT MACQUARIE-HASTINGS),51
383,BLACK CREEK (SNOWY VALLEYS),18
384,BLACK HEAD,926
385,BLACK HILL,567
386,BLACK HOLLOW,22
387,BLACK MOUNTAIN,321
