,ssc_name,total_persons
1052,COOPLACURRIPA,13
1053,COORABELL,476
1054,COORANBONG,5838
1055,COOTAMUNDRA,6893
1056,COOTRALANTRA,99
1057,COOYAL,114
1058,COPACABANA,2904
1059,COPE,131
1060,COPELAND,68
1061,COPETON,50
1062,COPMANHURST,291
1063,COPPABELLA,11
1064,COPPERHANNIA,6
1065,CORAKI,1297
1066,CORALVILLE,141
1067,CORAMBA,850
1068,CORANG,12
1069,CORANGULA,21
1070,CORBIE HILL,233
1071,CORDEAUX,0
1072,CORDEAUX HEIGHTS,4646
1073,COREE,39
1074,COREEN,115
1075,CORINDI BEACH,1801
1076,CORINELLA,77
1077,CORLETTE,5621
1078,CORNDALE,347
1079,CORNEY TOWN,77
1080,CORNWALLIS,54
1081,COROBIMILLA,73
1082,COROWA,5486
1083,CORRABARE,13
1084,CORRIMAL,6745
1085,CORRONG,4
1086,CORROWONG,12
1087,CORUNNA,65
1088,COTTAGE POINT,103
1089,COTTONVALE,25
1090,COUGAL,35
1091,COUNTEGANY,33
1092,COURABYRA,97
1093,COURADDA,54
1094,COURAGAGO,8
1095,COURIDJAH,329
1096,COUTTS CROSSING,1101
1097,COW FLAT,67
1098,COWABBIE,14
1099,COWAN,654
1100,COWPER,92
1101,COWRA,10253
1102,CROOBLE,66
1103,CROOBYAR,166
1104,CROOKED CORNER,60
1105,CROOKWELL,2737
1106,CROOM,123
1107,CROPPA CREEK,123
1108,CROSS ROADS,21
1109,CROSSLANDS,602
1110,CROUDACE BAY,588
1111,CROWDY BAY NATIONAL PARK,3
1112,CROWDY HEAD,75
1113,CROWS NEST,5274
1114,CROWTHER,57
1115,CROWTHER ISLAND,0
1116,CROYDON,11667
1117,CROYDON PARK,11687
1118,CRUDINE,67
1119,CRYON,45
1120,CRYSTAL CREEK,263
1121,CUBBA,35
1122,CUDAL,563
1123,CUDGEGONG,43
1124,CUDGEL,32
1125,CUDGEN,948
1126,CUDGERA CREEK,370
1127,CUDMIRRAH,272
1128,CULBURRA BEACH,2991
1129,CULCAIRN,1508
1130,CULLEN BULLEN,288
1131,CULLENBONE,35
1132,COXS CREEK,56
1133,COXS CROWN,10
1134,CRABBES CREEK,312
1135,CRACKENBACK,196
1136,CRAIGIE,28
1137,CRANEBROOK,17542
1138,CRANGAN BAY,3
1139,CRAVEN,122
1140,CRAVEN PLATEAU,4
1141,CRAWFORD RIVER,46
1142,CRAWNEY,36
1143,CREEWAH,33
1144,CREMORNE,12155
1145,CREMORNE POINT,2565
1146,CRESCENT HEAD,1559
1147,CRESTWOOD,4885
1148,CRINGILA,2304
1149,CROKI,47
1150,CROMER,8089
1151,CRONULLA,19496
1152,CULLENDORE,16
1153,CULLERIN,39
1154,CULLIVEL,16
1155,CULMARAN CREEK,10
1156,CUMBALUM,1596
1157,CUMBANDRY,17
1158,CUMBERLAND REACH,182
1159,CUMBO,13
1160,CUMBORAH,245
1161,CUMNOCK,449
1162,CUNDLE FLAT,14
1163,CUNDLETOWN,2119
1164,CUNDUMBUL,40
1165,CUNJURONG POINT,77
1166,CUNNINGAR,143
1167,CUNNINYEUK,34
1168,CURBAN,130
1169,CURL CURL,2581
1170,CURLEW WATERS,17
1171,CURLEWIS,782
1172,CURLWAA,399
1173,CURRA CREEK,74
1174,CURRABUBULA,348
1175,CURRAGH,0
1176,CURRAMORE,204
1177,CURRANS HILL,5815
1178,CURRARONG,464
1179,CURRAWANG,194
1180,CURRAWARNA,199
1181,CURRAWEELA,46
1182,CURRICABARK,11
1183,CURROWAN,57
1184,CUTTABRI,41
1185,CUTTAGEE,57
1186,DABEE,39
1187,DACEYVILLE,1285
1188,DAIRY ARM,29
1189,DAIRY FLAT,17
1190,DAIRYMANS PLAINS,156
1191,DALEYS POINT,676
1192,DALGETY,210
1193,DALMENY,1991
1194,DALMORTON,4
1195,DALSWINTON,52
1196,DALTON,207
1197,DALWOOD (BALLINA),235
1198,DALWOOD (SINGLETON),114
1199,DANDALOO,38
1200,DANDRY,94
1201,DANGAR ISLAND,328
1202,DHARRUK,2853
1203,DHULURA,47
1204,DANGARSLEIGH,154
1205,DANGELONG,5
1206,DAPTO,11223
1207,DARAWANK,430
1208,DARBALARA,53
1209,DARBYS FALLS,252
1210,DARETON,537
1211,DARGAN,102
1212,DARK CORNER,20
1213,DARKES FOREST,121
1214,DARKWOOD,186
1215,DARLING POINT,4516
1216,DARLINGHURST,12728
1217,DARLINGTON (SINGLETON),379
1218,DARLINGTON (SYDNEY),3499
1219,DARLINGTON POINT,1132
1220,DARLOW,36
1221,DARTBROOK,112
1222,DARUKA,819
1223,DAVIDSON,2991
1224,DAVIS CREEK,18
1225,DAVISTOWN,2630
1226,DAWES POINT,416
1227,DAYSDALE,100
1228,DEAN PARK,3348
1229,DEAUVILLE,29
1230,DEBENHAM,5
1231,DEE WHY,23407
1232,DEEP CREEK (CLARENCE VALLEY),8
1233,DEEP CREEK (KEMPSEY),91
1234,DEEP CREEK (KYOGLE),32
1235,DEEPWATER,452
1236,DEER VALE,160
1237,DELEGATE,356
1238,DELUNGRA,657
1239,DENHAM COURT,3330
1240,DENHAMS BEACH,660
1241,DENILIQUIN,8015
1242,DENISTONE,3998
1243,DENISTONE EAST,2410
1244,DENISTONE WEST,1021
1245,DENMAN,1814
1246,DEPOT BEACH,21
1247,DERRIWONG,38
1248,DEUA,0
1249,DEUA RIVER VALLEY,77
1250,DEVILS HOLE,19
1251,DEWITT,11
1252,DHURAGOON,26
1253,DIAMOND BEACH,942
1254,DIAMOND HEAD,2
1255,DIEHARD,43
1256,DIGGERS CAMP,20
1257,DIGNAMS CREEK,90
1258,DILKOON,53
1259,DILPURRA,23
1260,DINGO FOREST,0
1261,DINOGA,61
1262,DIRNASEER,81
1263,DIRTY CREEK,95
1264,DOBIES BIGHT,136
1265,DOCTOR GEORGE MOUNTAIN,61
1266,DOCTORS GAP,32
1267,DOG ROCKS,6
1268,DOLANS BAY,610
1269,DOLLS POINT,1799
1270,DOLLYS FLAT,75
1271,DOLPHIN POINT,216
1272,DOMBARTON,160
1273,DONALD CREEK,28
1274,DONDINGALONG,677
1275,DOON DOON,98
1276,DOONBAH,248
1277,DOONSIDE,14718
1278,DOORALONG,388
1279,DORA CREEK,1739
1280,DORRIGO,1170
1281,DORRIGO MOUNTAIN,97
1282,DORROUGHBY,149
1283,DOUBLE BAY,5074
1284,DOUBTFUL CREEK,141
1285,DOUGLAS PARK,1502
1286,DOVER HEIGHTS,4118
1287,DOWNSIDE,124
1288,DOYALSON,325
1289,DOYALSON NORTH,391
1290,DOYLES CREEK,47
1291,DOYLES RIVER,0
1292,DRAKE,343
1293,DRILDOOL,18
1294,DRIPSTONE,83
1295,DRUMMOYNE,12700
1296,DRY CREEK,34
1297,DRY PLAIN,39
1298,DUBBO,41381
1299,DUCK CREEK,59
1300,DUCKENFIELD,201
1301,DUCKMALOI,51
1302,DUDLEY,2455
1303,DUFFYS FOREST,506
1304,DULGUIGAN,133
1305,DULWICH HILL,15021
1306,DUM DUM,124
1307,DUMARESQ,80
1308,DUMARESQ ISLAND,62
1309,DUMARESQ VALLEY,40
1310,DUMBUDGERY,0
1311,DUNBIBLE,371
1312,DUNBOGAN,1071
1313,DUNCANS CREEK,55
1314,DUNDAS,5131
1315,DUNDAS VALLEY,5853
1316,DUNDEE,156
1317,DUNDURRABIN,93
1318,DUNEDOO,1221
1319,DUNGARUBBA,62
1320,DUNGAY,222
1321,DUNGEREE,2
1322,DUNGOG,2098
1323,DUNGOWAN,415
1324,DUNKELD,43
1325,DUNMORE,236
1326,DUNOLLY,90
1327,DUNOON,719
1328,DUNS CREEK,564
1329,DUNVILLE LOOP,10
1330,DURAL (HORNSBY),8015
1331,DURAL (SINGLETON),0
1332,DURAMANA,212
1333,DURANBAH,254
1334,DURI,545
1335,DUROBY,63
1336,DURRAN DURRA,111
1337,DURRAS NORTH,27
1338,DURREN DURREN,84
1339,DUVAL,2
1340,DYERS CROSSING,345
1341,DYRAABA,100
1342,DYRRING,93
1343,EAGLE VALE,6004
1344,EAGLETON,224
1345,EARLWOOD,19113
1346,EAST ALBURY,6621
1347,EAST BALLINA,5859
1348,EAST BRANXTON,1945
1349,EAST CORAKI,208
1350,EAST CORRIMAL,3516
1351,EAST GOSFORD,4437
1352,EDEN CREEK,154
1353,EDENSOR PARK,10321
1354,EDENVILLE,75
1355,EDGECLIFF,2778
1356,EDGEROI,109
1357,EDGEWORTH,6484
1358,EDITH,96
1359,EDMONDSON PARK,3624
1360,EDROM,0
1361,EENAWEENA,13
1362,EGLINTON,2268
1363,EIGHTEEN MILE,3
1364,ELANDS,208
1365,ELANORA HEIGHTS,4559
1366,ELCOMBE,35
1367,ELDERSLIE (CAMDEN),6944
1368,ELDERSLIE (SINGLETON),134
1369,ELEEBANA,5907
1370,ELERMORE VALE,5742
1371,ELIZABETH BAY,5938
1372,ELIZABETH BEACH,219
1373,ELIZABETH HILLS,2836
1374,ELLALONG,1181
1375,ELLAND,352
1376,EAST GRESFORD,329
1377,EAST HILLS,3450
1378,EAST JINDABYNE,719
1379,EAST KANGALOON,86
1380,EAST KEMPSEY,1392
1381,EAST KILLARA,3186
1382,EAST KURRAJONG,2270
1383,EAST LINDFIELD,4044
1384,EAST LISMORE,4960
1385,EAST LYNNE,99
1386,EAST MAITLAND,12319
1387,EAST RYDE,2582
1388,EAST SEAHAM,337
1389,EAST TAMWORTH,5651
1390,EAST WAGGA WAGGA,241
1391,EAST WARDELL,323
1392,EASTERN CREEK,870
1393,EASTGARDENS,937
1394,EASTLAKES,7872
1395,EASTWOOD,19306
1396,EATONSVILLE,227
1397,EBENEZER,1032
1398,EBOR,167
1399,ECCLESTON,38
1400,EDDERTON,0
1401,EDEN,3193
1402,ELLANGOWAN,338
1403,ELLENBOROUGH,194
1404,ELLERSLIE (SNOWY VALLEYS),52
1405,ELLERSLIE (WENTWORTH),92
1406,ELLERSTON,133
1407,ELLIS LANE,880
1408,ELONG ELONG,123
1409,ELRINGTON,119
1410,ELSMORE,357
1411,ELTHAM,335
1412,ELVINA BAY,90
1413,EMERALD BEACH,2416
1414,EMERALD HILL,140
1415,EMERTON,2313
1416,EMMAVILLE,527
1417,EMPIRE BAY,2498
1418,EMPIRE VALE,183
1419,EMU HEIGHTS,3369
1420,EMU PLAINS,8567
1421,EMU SWAMP,174
1422,ENDRICK,0
1423,ENFIELD,2977
1424,ENGADINE,17872
1425,ENGLORIE PARK,426
1426,ENMORE (ARMIDALE REGIONAL),54
1427,ENMORE (INNER WEST),4262
1428,ENNGONIA,152
1429,ENVIRONA,0
1430,EPPING,26740
1431,ERARING,225
1432,EREMERANG,21
1433,ERIGOLIA,49
1434,ERIN VALE,56
1435,ERINA,4952
1436,ERINA HEIGHTS,449
1437,ERMINGTON,11783
1438,EROWAL BAY,696
1439,ERROWANBANG,40
1440,ERSKINE PARK,6654
1441,ERSKINEVILLE,9128
1442,ERUDGERE,107
1443,ESCHOL PARK,2653
1444,ESK,0
1445,ESSINGTON,93
1446,ESTELLA,2558
1447,ETTALONG BEACH,4961
1448,ETTAMOGAH,49
1449,ETTREMA,0
1450,ETTRICK,134
1451,EUABALONG,192
1452,EUABALONG WEST,65
1453,EUBERTA,150
1454,EUCHAREENA,216
1455,EUCUMBENE,9
1456,EUGOWRA,820
1457,EULAH CREEK,75
1458,EUMUNGERIE,320
1459,EUNANOREENYA,201
1460,EUNGAI CREEK,435
1461,EUNGAI RAIL,232
1462,EUNGELLA,346
1463,EUREKA,374
1464,EURIMBLA,42
1465,EUROBODALLA,92
1466,EUROKA,369
1467,EUROLEY,77
1468,EURONGILLY,127
1469,EURUNDEREE,166
1470,EUSTON,822
1471,EVANS HEAD,2948
1472,EVANS PLAINS,162
1473,EVELEIGH,772
1474,EVIRON,208
1475,EWINGAR,71
1476,EWINGSDALE,904
1477,EXETER,988
1478,FAILFORD,540
1479,FAIRFIELD,19540
1480,FAIRFIELD EAST,5658
1481,FAIRFIELD HEIGHTS,8120
1482,FAIRFIELD WEST,12426
1483,FAIRHOLME,21
1484,FAIRLIGHT,6502
1485,FAIRY HILL,396
1486,FAIRY MEADOW,7810
1487,FALBROOK,29
1488,FALCONER,50
1489,FALLS CREEK,954
1490,FAR MEADOW,230
1491,FARGUNYAH,18
1492,FARLEY,231
1493,FARMBOROUGH HEIGHTS,4383
1494,FARNHAM,27
1495,FARRANTS HILL,124
1496,FARRINGDON,16
1497,FASSIFERN,600
1498,FAULCONBRIDGE,4053
1499,FAULKLAND,80
1500,FAWCETTS PLAIN,149
1501,FEDERAL,778
1502,FERNANCES CROSSING,38
1503,FERNBANK CREEK,218
1504,FERNBROOK,111
1505,FERNHILL,1103
1506,FERNLEIGH,311
1507,FERNMOUNT,375
1508,FERNSIDE,48
1509,FERNVALE,274
1510,FERODALE,95
1511,FIDDLETOWN,238
1512,FIFIELD,126
1513,FIGTREE,12272
1514,FINDON CREEK,25
1515,FINE FLOWER,30
1516,FINGAL BAY,1733
1517,FINGAL HEAD,674
1518,FINLEY,2598
1519,FIREFLY,299
1520,FISHERMANS BAY,64
1521,FISHERMANS PARADISE,507
1522,FISHERMANS REACH,156
1523,FISHERS HILL,36
1524,FISHING POINT,1063
1525,FITZGERALDS MOUNT,55
1526,FITZGERALDS VALLEY,9
1527,FITZROY FALLS,238
1528,FIVE DOCK,9930
1529,FIVE WAYS,28
1530,FLAT TOPS,29
1531,FLETCHER,6229
1532,FLINDERS,7350
1533,FLORAVILLE,1931
1534,FORBES,8667
1535,FORBES CREEK,72
1536,FORBES RIVER,12
1537,FORBESDALE,182
1538,FORDS BRIDGE,53
1539,FORDWICH,92
1540,FOREST GLEN,66
1541,FOREST GROVE,118
1542,FOREST HILL,2420
1543,FOREST LAND,1
1544,FOREST LODGE,5530
1545,FOREST REEFS,527
1546,FORESTVILLE,8744
1547,FORRESTERS BEACH,3084
1548,FENNELL BAY,1664
1549,FERN BAY,3165
1550,FERN GULLY,63
1551,FERNANCES,12
1552,FORSTER,14243
1553,FORTIS CREEK,29
1554,FOSTERS VALLEY,86
1555,FOSTERTON,115
1556,FOUNTAINDALE,722
1557,FOUR CORNERS,0
1558,FOUR MILE CREEK,11
1559,FOWLERS GAP,29
1560,FOXGROUND,156
1561,FRAZER PARK,0
1562,FRAZERS CREEK,191
1563,FREDERICKTON,1428
1564,FREEBURN ISLAND,0
1565,FREEMANS,0
1566,FREEMANS REACH,2051
1567,FREEMANS WATERHOLE,112
1568,FREEMANTLE,23
1569,FRENCH PARK,31
1570,FRENCHS FOREST,14126
1571,FRESHWATER,9764
1572,FROG ROCK,155
1573,FROGMORE,134
1574,FROGS HOLLOW,120
1575,FRYING PAN,4
1576,FULLERTON,50
1577,FULLERTON COVE,648
1578,FURRACABAD,44
1579,GADARA,45
1580,GALA VALE,4
1581,GALAMBINE,63
1582,GALONG,226
1583,GALORE,100
1584,GALSTON,3214
1585,GANBENANG,97
1586,GANGAT,25
1587,GANMAIN,791
1588,GARAH,317
1589,GARDEN SUBURB,1955
1590,GAREMA,105
1591,GARLAND,61
1592,GARLAND VALLEY,10
1593,GAROO,105
1594,GARRA,96
1595,GARTHOWEN,153
1596,GATESHEAD,3268
1597,GEARYS FLAT,3
1598,GEEHI,0
1599,GELSTON PARK,131
1600,GEMALLA,17
1601,GENEVA,757
1602,GIRILAMBONE,106
1603,GIRO,2
1604,GIRRAL,56
1605,GIRRALONG,49
1606,GIRRAWEEN,6117
1607,GIRVAN,165
1608,GLADESVILLE,12773
1609,GLADSTONE,363
1610,GLANMIRE,158
1611,GLEBE,12841
1612,GLEDSWOOD HILLS,38
1613,GLEN ALICE,58
1614,GLEN ALLEN,15
1615,GLEN ALPINE,4633
1616,GLEN DAVIS,119
1617,GLEN ELGIN,215
1618,GLEN FERGUS,6
1619,GLEN INNES,6190
1620,GEORGES CREEK,16
1621,GEORGES HALL,9728
1622,GEORGES PLAINS,252
1623,GEORGETOWN,2044
1624,GEORGICA,225
1625,GEROGERY,589
1626,GERRINGONG,4302
1627,GERROA,732
1628,GEURIE,808
1629,GHINNI GHI,38
1630,GHINNI GHINNI,57
1631,GHOOLENDAADI,60
1632,GIANTS CREEK,87
1633,GIBBERAGEE,23
1634,GIBRALTAR RANGE,0
1635,GIDGINBUNG,68
1636,GIDLEY,96
1637,GILEAD,425
1638,GILGAI,740
1639,GILGANDRA,3143
1640,GILGOOMA,36
1641,GILGUNNIA,0
1642,GILLENBAH,141
1643,GILLETTS RIDGE,27
1644,GILLIESTON HEIGHTS,3561
1645,GILMANDYKE,22
1646,GILMORE,180
1647,GIN GIN,114
1648,GINEROI,61
1649,GINGHI,13
1650,GINGKIN,80
1651,GIRARDS HILL,1317
1652,GLEN MARTIN,178
1653,GLEN NEVIS,0
1654,GLEN OAK,375
1655,GLEN WARD,7
1656,GLEN WILLIAM,129
1657,GLENBAWN,74
1658,GLENBROOK,5261
1659,GLENCOE,191
1660,GLENDALE,3193
1661,GLENDENNING,5388
1662,GLENDON,122
1663,GLENDON BROOK,269
1664,GLENELG,30
1665,GLENELLEN,127
1666,GLENFIELD,10179
1667,GLENFIELD PARK,5262
1668,GLENGARRIE,153
1669,GLENHAVEN,6803
1670,GLENIFFER,381
1671,GLENMORE,128
1672,GLENMORE PARK,24333
1673,GLENNIES CREEK,41
1674,GLENNING VALLEY,2061
1675,GLENORIE,3719
1676,GLENQUARRY,233
1677,GLENREAGH,934
1678,GLENRIDDING,259
1679,GLENROCK,35
1680,GLENROY (ALBURY),3411
1681,GLENROY (SNOWY VALLEYS),70
1682,GLENTHORNE,236
1683,GLENUGIE,203
1684,GLENWOOD,16905
1685,GLENWORTH VALLEY,8
1686,GLOSSODIA,2918
1687,GLOUCESTER,3048
1688,GLOUCESTER TOPS,0
1689,GOAT ISLAND,0
1690,GOBARRALONG,53
1691,GOBBAGOMBALIN,486
1692,GOCUP,152
1693,GODFREYS CREEK,75
1694,GOGELDRIE,91
1695,GOL GOL,1563
1696,GOLLAN,134
1697,GOLSPIE,62
1698,GONGOLGON,38
1699,GONN,42
1700,GOOBARRAGANDRA,69
1701,GOOD FOREST,37
1702,GOOD HOPE,182
1703,GOODNIGHT,99
1704,GOODOOGA,239
1705,GOODWOOD ISLAND,70
1706,GOOGONG,3771
1707,GOOLGOWI,434
1708,GOOLHI,87
1709,GOOLMA,105
1710,GOOLMANGAR,202
1711,GOOLOOGONG,409
1712,GOOMBARGANA,52
1713,GOONELLABAH,13176
1714,GOONENGERRY,399
1715,GOONOO FOREST,8
1716,GOONOO GOONOO,65
1717,GOONUMBLA,108
1718,GOORANGOOLA,57
1719,GOORIANAWA,28
1720,GORDON,8327
1721,GORGE CREEK,10
1722,GORMANS HILL,806
1723,GOROKAN,8643
1724,GOSFORD,3686
1725,GOSFORTH,84
1726,GOSTWYCK,26
1727,GOULBURN,23319
1728,GOULDSVILLE,11
1729,GOWAN,33
1730,GOWANG,22
1731,GOWRIE (SINGLETON),333
1732,GOWRIE (TAMWORTH REGIONAL),95
1733,GRABBEN GULLEN,261
1734,GRADYS CREEK,48
1735,GRAFTON,10639
1736,GRAGIN,2
1737,GRAHAMSTOWN,58
1738,GRAMAN,105
1739,GRANTS BEACH,0
1740,GRANVILLE,16520
1741,GRASMERE,2061
1742,GRASSY HEAD,81
1743,GRATTAI,332
1744,GRAVESEND,326
1745,GRAYS POINT,3255
1746,GREAT MACKEREL BEACH,36
1747,GREAT MARLOW,192
1748,GREEN CAPE,0
1749,GREEN CREEK,10
1750,GREEN FOREST,4
1751,GREEN GULLY,34
1752,GREENETHORPE,238
1753,GREENFIELD PARK,5403
1754,GREENGROVE,20
1755,GREENHILL,740
1756,GREENHILLS BEACH,885
1757,GREENLANDS (SINGLETON),89
1758,GREENLANDS (SNOWY MONARO REGIONAL),19
1759,GREENLEIGH,731
1760,GREENRIDGE,163
1761,GREENWELL POINT,1228
1762,GREENWICH,5969
1763,GREENWICH PARK,122
1764,GREG GREG,38
1765,GREGADOO,265
1766,GREGORY HILLS,7224
1767,GREIGS FLAT,153
1768,GRENFELL,2564
1769,GRESFORD,262
1770,GRETA,3007
1771,GRETA MAIN,71
1772,GREVILLIA,77
1773,GREYSTANES,24376
1774,GRIFFITH,19247
1775,GROGAN,91
1776,GRONG GRONG,253
1777,GROSE VALE,1327
1778,GROSE WOLD,644
1779,GROSSES PLAIN,34
1780,GROWEE,11
1781,GUERILLA BAY,50
1782,GUILDFORD,24514
1783,GUILDFORD WEST,5386
1784,GULARGAMBONE,585
1785,GULF CREEK,53
1786,GULGONG,2572
1787,GULMARRAD,1721
1788,GUM FLAT,225
1789,GUM SCRUB,132
1790,GUMBALIE,6
1791,GUMBLE,55
1792,GREEN HILLS (ARMIDALE REGIONAL),22
1793,GREEN HILLS (SNOWY VALLEYS),0
1794,GREEN PIGEON,159
1795,GREEN POINT (CENTRAL COAST),6544
1796,GREEN POINT (GOSFORD),175
1797,GREEN POINT (MID-COAST),544
1798,GREEN VALLEY,13156
1799,GREENACRE,26264
1800,GREENDALE (BEGA VALLEY),81
1801,GREENDALE (LIVERPOOL),353
1802,GUMLY GUMLY,330
1803,GUMMA,471
1804,GUNBAR,53
1805,GUNDAGAI,1689
1806,GUNDAMULDA,15
1807,GUNDAROO,1227
1808,GUNDARY,297
1809,GUNDERBOOKA,14
1810,GUNDERMAN,203
1811,GUNDY,207
1812,GUNGAL,274
1813,GUNGALMAN,8
1814,GUNNEDAH,10101
1815,GUNNING,684
1816,GUNNING GAP,81
1817,GUNNINGBLAND,78
1818,GUNNINGRAH,1
1819,GURLEY,241
1820,GURNANG,126
1821,GURRANANG,97
1822,GURRUNDAH,60
1823,GUYONG,135
1824,GUYRA,2042
1825,GWABEGAR,161
1826,GWANDALAN,3417
1827,GWYNNEVILLE,3277
1828,GYMEA,7968
1829,GYMEA BAY,7177
1830,HABERFIELD,6856
1831,HACKS FERRY,15
1832,HALEKULANI,2643
1833,HALFWAY CREEK,256
1834,HALLIDAYS POINT,540
1835,HALLORAN,43
1836,HALLS CREEK,135
1837,HALLSVILLE,555
1838,HALTON,22
1839,HAMBLEDON HILL,13
1840,HAMILTON,4501
1841,HAMILTON EAST,1010
1842,HAMILTON NORTH,919
1843,HAMILTON SOUTH,4056
1844,HAMILTON VALLEY,600
1845,HAMLYN TERRACE,6829
1846,HAMMONDVILLE,3716
1847,HAMPDEN HALL,62
1848,HAMPTON,108
1849,HANGING ROCK,110
1850,HANLEYS CREEK,2
1851,HANNAM VALE,189
1852,HEDDON GRETA,2179
1853,HEIFER STATION,8
1854,HELENSBURGH,6711
1855,HENLEY,509
1856,HENTY,1291
1857,HEREFORD HALL,24
1858,HERMIDALE,138
1859,HERMITAGE FLAT,340
1860,HERNANI,126
1861,HERONS CREEK,274
1862,HEXHAM,134
1863,HICKEYS CREEK,132
1864,HANWOOD,1289
1865,HARDEN,2062
1866,HARDYS BAY,244
1867,HAREFIELD,162
1868,HARGRAVES,274
1869,HAROLDS CROSS,60
1870,HARPARARY,48
1871,HARPERS HILL,57
1872,HARRINGTON,3154
1873,HARRINGTON PARK,12507
1874,HARRIS PARK,6310
1875,HARTLEY,446
1876,HARTLEY VALE,75
1877,HARTWOOD,21
1878,HARTYS PLAINS,30
1879,HARWOOD,293
1880,HASSALL GROVE,4739
1881,HASSANS WALLS,0
1882,HASTINGS POINT,677
1883,HAT HEAD,313
1884,HATFIELD,13
1885,HAVILAH,22
1886,HAWKESBURY HEIGHTS,463
1887,HAWKS NEST,1290
1888,HAY,2433
1889,HAY SOUTH,362
1890,HAYES GAP,13
1891,HAYMARKET,8451
1892,HAYSTACK,8
1893,HAYTERS HILL,30
1894,HAYWARDS BAY,1090
1895,HAZELBROOK,5186
1896,HAZELGROVE,89
1897,HEATHCOTE,6217
1898,HEATHERBRAE,512
1899,HEBDEN,42
1900,HEBERSHAM,5884
1901,HECKENBERG,3242
1902,HIGH RANGE,411
1903,HIGHER MACDONALD,11
1904,HIGHFIELDS,861
1905,HILL END,107
1906,HILL TOP (SNOWY MONARO REGIONAL),87
1907,HILL TOP (WINGECARRIBEE),2830
1908,HILLDALE,198
1909,HILLGROVE (ARMIDALE REGIONAL),177
1910,HILLGROVE (WAGGA WAGGA),26
1911,HILLSBOROUGH (LAKE MACQUARIE),667
1912,HILLSBOROUGH (MAITLAND),46
1913,HILLSDALE,5904
1914,HILLSTON,1548
1915,HILLVILLE,307
1916,HILLVUE,6587
1917,HINCHINBROOK,12307
1918,HINTON,472
1919,HOBARTVILLE,2880
1920,HOBBYS YARDS,83
1921,HOGARTH RANGE,45
1922,HOLBROOK,1721
1923,HOLGATE,1003
1924,HOLLISDALE,50
1925,HOLLYDEEN,62
1926,HOLMESVILLE,1409
1927,HOLROYD,1399
1928,HOLSWORTHY,5732
1929,HOLTS FLAT,3
1930,HOME RULE,55
1931,HOMEBUSH,8076
1932,HOMEBUSH WEST,9831
1933,HOMELEIGH,111
1934,HONEYBUGLE,24
1935,HOPEFIELD,85
1936,HOPKINS CREEK,111
1937,HORNINGSEA PARK,4160
1938,HORNSBY,23982
1939,HORNSBY HEIGHTS,6604
1940,HORSE STATION CREEK,102
1941,HORSESHOE BEND,439
1942,HORSESHOE CREEK,85
1943,HORSFIELD BAY,563
1944,HORSLEY,9234
1945,HORSLEY PARK,1954
1946,HOSKINSTOWN,203
1947,HOVELLS CREEK,38
1948,HOWARDS GRASS,73
1949,HOWELL,33
1950,HOWES VALLEY,124
1951,HOWICK,1
1952,HOWLONG,2838
1953,HOXTON PARK,4861
1954,HUMULA,127
1955,HUNGERFORD,17
1956,HUNTERS HILL,10125
1957,HUNTERVIEW,3041
1958,HUNTINGDON,89
1959,HUNTINGWOOD,0
1960,HUNTLEY (ORANGE),153
1961,HUNTLEY (WOLLONGONG),59
1962,HUNTLEYS COVE,816
1963,HUNTLEYS POINT,151
1964,HUONBROOK,163
1965,HURLSTONE PARK,5167
1966,HURSTVILLE,32710
1967,HURSTVILLE GROVE,2837
1968,HUSKISSON,851
1969,HYAMS BEACH,117
1970,HYLAND PARK,451
1971,HYNDMANS CREEK,56
1972,ILARWILL,218
1973,ILFORD,194
1974,ILLABO,151
1975,ILLAROO,36
1976,ILLAWONG,7472
1977,ILUKA,1782
1978,INDI,36
1979,INGEBIRAH,93
1980,INGLEBURN,16399
1981,INGLESIDE,1004
1982,INNES VIEW,32
1983,INVERELL,11894
1984,INVERGORDON,33
1985,INVERGOWRIE,781
1986,IRON POT CREEK,25
1987,IRONBARK,29
1988,IRONMUNGY,5
1989,IRVINGTON,82
1990,IRYMPLE,8
1991,ISABELLA,31
1992,ISLINGTON,1971
1993,IVANHOE,312
1994,JACKADGERY,98
1995,JACKS CREEK,135
1996,JACKSONS FLAT,11
1997,JACKY BULBIN FLAT,24
1998,JAGUMBA,0
1999,JAGUNGAL WILDERNESS,0
2000,JAMBEROO,1764
2001,JAMES CREEK,214
2002,JERRABOMBERRA,9919
2003,JERRARA,168
2004,JERRAWA,80
2005,JERRAWANGALA,72
2006,JERRONG,12
2007,JERRYS PLAINS,392
2008,JERSEYVILLE,118
2009,JESMOND,3392
2010,JEWELLS,2449
2011,JEWS LAGOON,2
2012,JIGGI,409
2013,JILLIBY,1735
2014,JIMENBUEN,36
2015,JINCUMBILLY,3
2016,JINDABYNE,2696
2017,JINDEN,22
2018,JINDERA,2281
2019,JINGELLIC,66
2020,JINGERA,44
2021,JOADJA,125
2022,JOES BOX,13
2023,JOHNS RIVER,330
2024,JOLLY NOSE,0
2025,JONES BRIDGE,25
2026,JONES CREEK,111
2027,JONES ISLAND,64
2028,JORDAN SPRINGS,6558
2029,JUDDS CREEK,16
2030,JUGIONG,254
2031,JUNCTION HILL,1445
2032,JUNEE,5169
2033,JUNEE REEFS,88
